"category","id","kabupaten","kecamatan","kelurahan","nama_tempat","alamat","daya_tampung","koordinator","no_hp","dokumen","keterangan","lat","lon","created_at","updated_at","deleted_at"
"Dalam Observasi","1","KAB. PACITAN","PACITAN","Pacitan","Wisma Atlit","Jl. WR. WR. Supratman No. 16 Lingk.  Kriyan Kel. Sidoharjo. Kec Pacitan ","48 Tempat tidur","Dr. Wahyu Basuki ","08992114997","https://covid19dev.jatimprov.go.id/public/uploads/admin/20200411124919_0.png","","-8.1813988","111.0699922","0000-00-00 00:00:00","2020-04-11 19:37:15","0000-00-00 00:00:00"
"Dalam Observasi","2","KAB. PACITAN","PACITAN","Mentoro","Gedung Olahraga","Jl. Magribi No. 37 Desa Mentoro","30 Tempat tidur","Dr. Mashoeri ","087736494780","","","-8,1971148","111.0959702","0000-00-00 00:00:00","2020-04-11 18:28:35","0000-00-00 00:00:00"
"Dalam Observasi","3","KAB. PACITAN","PACITAN","Klepu","Gedung  Olahraga","Dsn. Craken Wetan Desa Sumber  Sasono Harjo","30 Tempat tidur","Tri Pujianto ","082216403762","","","-8.1787029","111.3951706","0000-00-00 00:00:00","2020-04-11 18:43:00","0000-00-00 00:00:00"
"Dalam Observasi","4","KAB. PACITAN","PACITAN","Baleharjo","Ruang Rapat Terminal","Jl. Gatot Subroto  ","20 Tempat tidur","Wiedi Poornomo ","082131308663","","","-8.2119163","111.0993367","0000-00-00 00:00:00","2020-04-11 17:43:31","0000-00-00 00:00:00"
"Dalam Observasi","5","KAB. PACITAN","PACITAN","Purworejo","Ruang PKK Desa ","Dsn. Krajan Desa Purworejo","10 Tempat tidur","Samsudin ","083122067277","","","-8.1946859","111.1316465","0000-00-00 00:00:00","2020-04-12 07:06:22","0000-00-00 00:00:00"
"Dalam Observasi","6","KAB. PACITAN","KEBONAGUNG","Kebonagung","Balai Pertemuan  PWRI","Jln. Raya Kebonagung  No. 24","4 Tempat Tidur","Heri Setoyono ","081252218324","","","-8.2183434","111.1686085","0000-00-00 00:00:00","2020-04-11 17:45:26","0000-00-00 00:00:00"
"Dalam Observasi","7","KAB. PACITAN","NAWANGAN","Nawangan","Puskesmas Nawangan","JL. Jendral Soedirman Nawangan - Pacitan - 25 Km","10 Tempat tidur","Dr.Hepi ","082131067168","","","-8.0084006","111.1617952","0000-00-00 00:00:00","2020-04-11 18:42:05","0000-00-00 00:00:00"
"Dalam Observasi","8","KAB. PACITAN","SUDIMORO","Ketanggung","Polindes","Rt 03/02 Dsn. Krajan Desa Ketanggung","2 Tempat tidur","Heri Sumyanto 083845664422","","","","-8.1986047","111.3803314","0000-00-00 00:00:00","2020-04-11 18:44:58","0000-00-00 00:00:00"
"Dalam Observasi","9","KAB. PACITAN","SUDIMORO","Sumberejo","Poskesdes","Rt 01/14 Dsn. Karangturi Desa Sumberejo","3 Tempat tidur","Bidan Linda ","087756233477","","","-8.2555781","111.3732224","0000-00-00 00:00:00","2020-04-11 18:47:18","0000-00-00 00:00:00"
"Dalam Observasi","10","KAB. PACITAN","SUDIMORO","Sukorejo","Kantor Desa","Rt 01/01 Dsn.Krajan  Desa Sukorejo","2 Tempat tidur","Endah Setyoningsih","083845784304","","","-8.2465802","111.3594058","0000-00-00 00:00:00","2020-04-11 18:50:22","0000-00-00 00:00:00"
"Dalam Observasi","11","KAB. PACITAN","NGADIROJO","","Ruang Koskosan","RT 01 RW 01 Krajan Desa Ngadirojo Kec. Ngadirojo Kab. Pacitan","16 Tempat tidur","Ibu.Linda ","087758795799","","","-8.1973721","111.3437566","0000-00-00 00:00:00","2020-04-11 18:52:01","0000-00-00 00:00:00"
"Dalam Observasi","12","KAB. PACITAN","TULAKAN","","Balai Desa Persiapan","Jln. Wonokarto - Ponorogo KM.07","2 Tempat Tidur","Joko Pitono 083845043089","","","","-7.4878014","111.165212","0000-00-00 00:00:00","2020-04-11 18:53:06","0000-00-00 00:00:00"
"Dalam Observasi","13","KAB. PACITAN","DONOROJO","Sukodono","Poskesdes  Ds. Sukodono","Rt.03/06 Dsn.Krajan Ds.Sukodono","2  Tempat Tidur","Cahyaningtyas Brilianti Kharisma , Suryandari,  S. Tr. Keb ","85232638208","","","-8.1200653","110.9634403","0000-00-00 00:00:00","2020-04-11 18:54:56","0000-00-00 00:00:00"
"Dalam Observasi","14","KAB. PONOROGO","PONOROGO","Tamanarum",""," ","","Bidan Desa","","","Dirapatkan","-7.8865362","111.4431844","0000-00-00 00:00:00","2020-04-10 12:25:19","0000-00-00 00:00:00"
"Dalam Observasi","15","KAB. PONOROGO","PONOROGO","",""," ","","","","","Dirapatkan","-7.8559009","111.4518912","0000-00-00 00:00:00","2020-04-10 12:29:32","0000-00-00 00:00:00"
"Dalam Observasi","16","KAB. PONOROGO","PONOROGO","Purbosuman",""," ","","","","","Dirapatkan","-7.8819754","111.4717622","0000-00-00 00:00:00","2020-04-10 12:27:16","0000-00-00 00:00:00"
"Dalam Observasi","17","KAB. PONOROGO","PONOROGO","Cokromenggalan",""," ","","","","","Dirapatkan","-7.8733588","111.4689463","0000-00-00 00:00:00","2020-04-10 12:32:04","0000-00-00 00:00:00"
"Dalam Observasi","18","KAB. PONOROGO","PONOROGO","Beduri",""," ","","","","","Dirapatkan","-7.8454944","111.4472912","0000-00-00 00:00:00","2020-04-10 12:26:17","0000-00-00 00:00:00"
"Dalam Observasi","19","KAB. PONOROGO","PONOROGO","Kauman",""," ","","","","","Dirapatkan","-7.8681201","111.4556578","0000-00-00 00:00:00","2020-04-10 12:34:24","0000-00-00 00:00:00"
